"account_name","order_date"
"3M",2015-05-09 13:25:46.000
"3M",2015-05-09 13:31:21.000
"3M",2015-06-08 16:22:52.000
"3M",2015-07-08 19:03:40.000
"3M",2015-07-08 19:05:46.000
"3M",2015-08-07 17:39:05.000
"3M",2015-08-07 18:08:14.000
"3M",2015-09-06 00:15:58.000
"3M",2015-10-06 10:07:00.000
"3M",2015-11-05 17:41:13.000
"3M",2015-11-05 17:54:14.000
"3M",2016-01-03 07:18:01.000
"3M",2016-02-02 11:02:51.000
"3M",2016-02-02 11:16:23.000
"3M",2016-03-02 13:28:58.000
"3M",2016-03-02 13:51:46.000
"3M",2016-03-31 18:06:02.000
"3M",2016-04-30 03:48:20.000
"3M",2016-04-30 04:06:34.000
"3M",2016-05-29 23:44:22.000
"3M",2016-05-29 23:45:59.000
"3M",2016-06-27 11:43:50.000
"3M",2016-07-27 08:02:04.000
"3M",2016-07-27 08:10:36.000
"3M",2016-08-25 07:29:47.000
"3M",2016-08-25 07:32:25.000
"3M",2016-09-23 03:27:31.000
"3M",2016-09-23 03:37:40.000
ADP,2013-12-29 21:43:14.000
ADP,2014-01-27 03:50:23.000
ADP,2014-02-25 19:56:12.000
ADP,2014-02-25 20:21:34.000
ADP,2014-03-26 21:22:00.000
ADP,2014-03-26 21:23:14.000
ADP,2014-04-25 10:43:04.000
ADP,2014-05-24 08:25:36.000
ADP,2014-05-24 08:28:56.000
ADP,2014-06-22 17:43:59.000
ADP,2014-06-22 17:58:52.000
ADP,2014-07-22 13:15:54.000
ADP,2014-07-22 13:20:58.000
ADP,2014-08-20 09:14:56.000
ADP,2014-08-20 09:19:01.000
ADP,2014-09-18 12:19:28.000
ADP,2014-09-18 12:43:57.000
ADP,2014-10-17 03:48:33.000
ADP,2014-10-17 03:52:36.000
ADP,2014-11-16 21:54:56.000
ADP,2014-11-16 21:57:09.000
ADP,2014-12-15 23:48:37.000
ADP,2014-12-15 23:58:32.000
ADP,2015-01-13 09:57:31.000
ADP,2015-02-12 10:02:15.000
ADP,2015-03-15 00:11:24.000
ADP,2015-03-15 00:16:52.000
ADP,2015-04-12 20:44:44.000
ADP,2015-04-12 20:59:30.000
ADP,2015-05-12 05:07:51.000
ADP,2015-06-10 04:26:06.000
ADP,2015-07-09 07:26:45.000
ADP,2015-08-07 20:44:56.000
ADP,2015-08-07 20:50:29.000
ADP,2015-09-05 03:48:29.000
ADP,2015-09-05 03:48:43.000
ADP,2015-10-04 04:29:26.000
ADP,2015-11-02 23:27:35.000
ADP,2015-11-02 23:45:50.000
ADP,2015-12-01 06:48:48.000
ADP,2015-12-01 06:57:36.000
ADP,2015-12-30 08:06:40.000
ADP,2016-01-28 10:55:16.000
ADP,2016-02-26 06:29:12.000
ADP,2016-03-26 23:50:11.000
ADP,2016-04-25 15:48:55.000
ADP,2016-05-25 20:53:51.000
ADP,2016-05-25 21:17:11.000
ADP,2016-06-24 12:07:19.000
ADP,2016-06-24 12:09:50.000
ADP,2016-07-24 23:51:09.000
ADP,2016-07-25 00:09:01.000
ADP,2016-08-23 01:11:51.000
ADP,2016-09-22 03:52:38.000
ADP,2016-09-22 04:01:07.000
ADP,2016-10-22 22:56:20.000
ADP,2016-10-22 22:58:28.000
ADP,2016-11-20 03:48:36.000
ADP,2016-11-20 03:52:11.000
ADP,2016-12-20 22:29:50.000
AECOM,2016-06-24 07:43:04.000
AECOM,2016-06-24 07:47:59.000
AECOM,2016-07-23 19:37:48.000
AECOM,2016-08-21 12:08:22.000
AECOM,2016-08-21 12:23:52.000
AECOM,2016-09-20 06:53:27.000
AECOM,2016-10-20 00:49:19.000
AECOM,2016-11-18 05:04:21.000
AECOM,2016-12-17 08:46:59.000
AES,2016-11-10 11:19:58.000
AES,2016-12-09 15:07:12.000
AES,2016-12-09 15:18:44.000
AIG,2016-12-19 12:28:36.000
AIG,2016-12-19 12:34:27.000
AT&T,2014-08-15 05:38:05.000
AT&T,2014-09-13 04:55:51.000
AT&T,2014-09-13 05:11:21.000
AT&T,2014-10-13 12:12:55.000
AT&T,2014-11-12 06:29:46.000
AT&T,2014-11-12 06:54:10.000
AT&T,2014-12-11 10:36:32.000
AT&T,2014-12-11 10:40:11.000
AT&T,2015-01-09 14:16:50.000
AT&T,2015-02-08 10:01:50.000
AT&T,2015-04-07 13:29:20.000
AT&T,2015-04-07 13:46:47.000
AT&T,2015-05-06 03:37:09.000
AT&T,2015-06-05 19:18:24.000
AT&T,2015-06-05 19:18:54.000
AT&T,2015-07-05 02:36:29.000
AT&T,2015-07-05 02:45:54.000
AT&T,2015-08-03 11:39:52.000
AT&T,2015-08-03 12:02:33.000
AT&T,2015-09-01 14:30:59.000
AT&T,2015-10-01 15:53:49.000
AT&T,2015-10-31 16:07:00.000
AT&T,2015-10-31 16:08:57.000
AT&T,2015-11-29 21:18:37.000
AT&T,2015-11-29 21:32:47.000
AT&T,2015-12-28 18:48:29.000
AT&T,2016-01-26 06:24:01.000
AT&T,2016-01-26 06:32:50.000
AT&T,2016-02-25 07:04:29.000
AT&T,2016-03-25 22:26:45.000
AT&T,2016-04-24 07:33:51.000
AT&T,2016-04-24 07:33:58.000
AT&T,2016-05-23 07:40:57.000
AT&T,2016-06-22 01:09:48.000
AT&T,2016-07-21 18:51:18.000
AT&T,2016-08-20 04:32:35.000
AT&T,2016-08-20 04:50:59.000
AT&T,2016-09-18 20:57:59.000
AT&T,2016-10-17 13:19:06.000
AT&T,2016-10-17 13:31:48.000
